100207-1,stripe, blue, blue 
0001,check, grey, black 
0002,check, blue, black 
0003,check, blue,black 
0004,check,charcoal, black 
0005,check,charcoal, black 
0008,stripe, grey, black 
0027,other, brown, black 
100202-3,other, charcoal, blue 
100202-4,other, blue, blue 
100202-5,other, brown, blue 
100207-2,stripe, charcoal, blue 
100208-1,stripe, charcoal, blue 
100208-2,stripe, blue, blue 
100210-1,herringbone|stripe, grey, blue 
100210-2,herringbone|stripe, charcoal, blue 
100210-4,herringbone|stripe, brown, blue 
100211-1,herringbone|stripe, charcoal, blue 
100211-2,herringbone|stripe, blue, blue 
100212-1,stripe, grey, blue 
100212-2,stripe, charcoal, blue 
100212-3,stripe, blue, blue 
100213-1,other, black, blue 
100214-1,stripe, grey, blue 
100214-2,stripe, blue|charcoal, blue 
100214-3,stripe, charcoal, blue 
100214-4,stripe, blue, blue 
100215-1,herringbone, grey, blue 
100215-2,herringbone, charcoal, blue 
100215-3,herringbone,blue, blue 
100215-4,herringbone, black, blue 
100202-1,other, grey, blue
al001,stripe, brown, black 
al002,stripe, blue, black 
al003,stripe, charcoal, black 
al031,stripe, grey, black 
al044,check, grey, black 
al051,stripe, blue, black 
al131,stripe, charcoal, black 
al140,solid, grey, black 
al149,solid, charcoal, black 
al157,solid, black, black 
gvwn11,solid, grey, blue 
gvwn12,solid, grey, blue 
gvwn13,solid, charcoal, blue 
gvwn14,solid, blue, blue 
gvwn16,solid, black, blue 
gvwn28,solid, brown, blue 
gvwn29,solid, brown, blue 
gvwn30,solid, brown, blue
000016,herringbone,grey, black
000047,stripe|herringbone,grey, black
000043,stripe,charcoal, black
000042,stripe,grey, black
000027,stripe,blue, black
000026,stripe,grey, black
000059,check,charcoal, black
000058,other,black, black
000069,other,blue, black
000068,other,charcoal, black
000004,solid,blue, black
000013,solid,brown, black
000019,herringbone,black, black
000001,solid,black,blue
000002,solid,blues,blue
000003,solid,blues,blue
000004,solid,blues,blue
00007,solid,grey,blue
00008,solid,grey,blue
00009,solid,blues,blue
00010,solid,grey,blue
00012,solid,grey,blue
00013,solid,grey,blue
00016,herringbone,grey,blue
00017,herringbone,grey,blue
00018,herringbone,blues,blue
00023,stripe,grey,blue
00024,stripe,blues,blue
00026,stripe,grey,blue
00027,stripe,blue,blue
00029,stripe,grey,blue
00030,stripe,blue,blue
00034,stripe,grey,blue
00035,stripe,navy,blue
00042,stripe,grey,blue
00043,stripe,grey,blue
00047,solid,grey,blue
00058,check,grey,blue
00059,check,grey,blue
00060,check,blue,blue
00061,check,grey,blue
00062,check,blue,blue
202001,solid,black,blue
202002,solid,grey,blue
202003,solid,grey,blue
202005,solid,blue,blue
202010,solid,blue,blue
202021,herringbone,grey,blue
202027,other,blue,blue
202043,stripe,blue,blue
202052,stripe,grey,blue
202053,stripe,blue,blue
202109,check,blue,blue
202113,check,grey,blue
210005,solid,black,blue
10004,solid,grey,blue
10006,solid,other,blue
10007,solid,blue,blue
10009,solid,,blue
10102,other,other,black
10104,other,blue,black
10146,stripe,other,black
10148,stripe,other,black
14001,stripe,blue,black
14021,stripe,grey,black
14027,check,grey,black
14028,check,grey,black
14029,check,grey,black
14030,check,grey,black
14032,check,grey,black
14035,herringbone,grey,black
14038,herringbone,blue,black
14043,other,blue,black
14049,solid,grey,black
14050,solid,grey,black
14052,solid,grey,black
14053,solid,grey,black
14054,solid,grey,blue
14055,solid,black,blue
14056,solid,blue,blue
14057,solid,blue,blue
76001,other,tan,blue
76019,other,blue,blue
76024,other,grey,blue
76028,other,tan,blue
76004,other,tan,blue
